code,department,agriculture,industry,services,total,agriculture_pct,industry_pct,services_pct,region,type
P,PARIS,2000,575000,940000,1517000,0,38,62,Ile-de-France,S>I>A
75,SEINE,8000,574000,550000,1132000,1,51,49,Ile-de-France,I>S>A
59,NORD,81000,483000,296000,860000,9,56,34,Hauts-de-France,I>S>A
78,SEINE & O.,46000,328000,356000,730000,6,45,49,Ile-de-France,S>I>A
62,P.D.C.,94000,242000,137000,473000,20,51,29,Hauts-de-France,I>S>A
69,RHONE,44000,215000,194000,453000,10,47,43,Auvergne-Rhône-Alpes,I>S>A
13,BOUCHES DU RH.,42000,143000,226000,411000,10,35,55,Provence-Alpes-Côte d'Azur,S>I>A
76,SEINE INF.,75000,152000,174000,401000,19,38,43,Normandie,S>I>A
33,GIRONDE,115000,107000,170000,392000,29,27,43,Nouvelle-Aquitaine,S>A>I
29,FINISTERE,164000,76000,89000,329000,50,23,27,Bretagne,A>S>I
44,LOIRE INF.,101000,108000,105000,314000,32,34,33,Pays de la Loire,I>S>A
67,BAS-RHIN,76000,122000,114000,312000,24,39,37,Grand Est,I>S>A
57,MOSELLE,36000,173000,94000,303000,12,57,31,Grand Est,I>S>A
42,LOIRE,56000,160000,82000,298000,19,54,28,Auvergne-Rhône-Alpes,I>S>A
38,ISERE,68000,136000,78000,282000,24,48,28,Auvergne-Rhône-Alpes,I>S>A
35,ILLE & V.,137000,60000,82000,279000,49,22,29,Bretagne,A>S>I
54,MEURTHE & M.,23000,127000,91000,241000,10,53,38,Grand Est,I>S>A
56,MORBIHAN,132000,47000,59000,238000,55,20,25,Bretagne,A>S>I
68,Ht-RHIN,40000,121000,74000,235000,17,51,31,Grand Est,I>S>A
49,MAINE & L.,104000,65000,65000,234000,44,28,28,Pays de la Loire,A>I>S
71,SAONE & L.,94000,77000,62000,233000,40,33,27,Bourgogne-Franche-Comté,A>I>S
22,COTES DU NORD,131000,35000,62000,228000,57,15,27,Bretagne,A>S>I
63,PUY DE DOME,80000,79000,63000,222000,36,36,28,Auvergne-Rhône-Alpes,A>I>S
31,HAUTE GARONNE,64000,67000,84000,215000,30,31,39,Occitanie,S>I>A
06,ALPES Mmes,31000,61000,122000,214000,14,29,57,Provence-Alpes-Côte d'Azur,S>I>A
50,MANCHE,116000,42000,56000,214000,54,20,26,Normandie,A>S>I
14,CALVADOS,70000,55000,69000,194000,36,28,36,Normandie,A>S>I
